Unnamed: 0,User Name,Review Title,Review Text,Star,Review posted time
34,Santokki,almost perfect use almost,purchased blink mini use house help u monitor toddler bought two pack wanted one son room one living room prior using old webcam son room parent outdoor blink camera spoke highly thought indoor one would work great need like webcam bonus feature rightpros easy setup clean small design picture quality night day seems good especially compared old webcam range see room good like select certain area room tell there motion area around son bed set notify there movement way move around bed doesnt notify get bed doescons biggest con live feed last 30 second hit button continue understand setting created battery powered unit unit always connected power ideally would setting letting choose preferred length even 5 minute time hit refresh would great like able monitor son go nap last anywhere 530 minute im usually working time hit continue button every 30 second restart camera every couple minute get frustrating there echo talk microphone make harder use hear isnt big deal dont plan use featureoverall like worth money fix live view feed length would make great baby monitor im really hoping fix didnt buy baby monitor never found one seemed worth cost one researched always seemed big flaw even price point gave saw blink mini known live view restriction probably wouldnt bought honesty since hinders use here hoping feature fix future,4.0 out of 5 stars,"Reviewed in the United States on April 18, 2020"
35,Jeff Ketcham,stream echo show 6 minute,disappointed bought echo show 5 use nursery camera echo show stream 6 minute go back home screen call blink claim alexa team fault update alexa team coming soon call amazon told update coming soon design cctv try stream phone asks click continue 1 minute turn click continue ask another minute well useless stated listing,1.0 out of 5 stars,"Reviewed in the United States on October 11, 2020"
36,Ted,great product well worth money,great little camera probablt took longer unpackage hook recording existing blink system,5.0 out of 5 stars,"Reviewed in the United States on April 17, 2020"
37,willfe,amazon never allow product sold total scam,purchased several set christmas present found christmas day subscription necessary company rescinded free cloud service even work local storage burdened monthly fee luckily company arrived yet take tree going hand money gift stay away blink system become scam artistsonly find need sync module hard find separately usb drive double cost make camera useful still can not access storage clip phoneamazon allow sell company would equivalent selling cable box cable tv find fact work unless subscribe service would ever place burden monthly payment someone gift beyond upset company business allowed sell allowed amazon store market shelf even offered local storage option would bad advertise free cloud month pay nose,1.0 out of 5 stars,"Reviewed in the United States on December 25, 2020"
38,Mackâ€™s momma,frustration chart,ive tried everything get camera work ive followed instruction blink made sure wifi 24ghz tried suggestion forum deleted app reinstalled reset camera reset router etc connect sometimes try connect home wifi sometimes skip step entirely try connect phone directly camera guess got 25 paperweight contacted customer support ive heard thats probably going good update review ifwhen anything change right blink mini deserves le one star,1.0 out of 5 stars,"Reviewed in the United States on October 12, 2020"
39,locksmith21,junk,omg even begin camera first security camera purchased house big mistake camera pretty much work want catch want worse part certain time period night catch movement go app sort wake camera opening live feed like something happens night make fall asleep stop recording movement open camera app open live feed pretty ridiculous every morning order camera technically wake back start recording like 2 way talk audible pretty good could use lot work ughh wish could take back due covid threw box away right away stuck junk,2.0 out of 5 stars,"Reviewed in the United States on May 14, 2020"
40,pepijef,tremenda ayuda para nosotros,encanto tengo un joven con diagn stico de autismo necesitaba una c mara para poder mirarlo especialmente en la noches necesito estar pendiente que se escape se agreda para mi sorpresa la c mara sido tremenda ayuda para mi lo que gusta e que tiene el sensor de movimiento lo activo la c mara avisa cuando se levanta de la cama cuando se comienza autoagredir yo puedo correr ayudarlo de noche se perfectotremenda ayuda recomendada,5.0 out of 5 stars,"Reviewed in the United States on October 21, 2020"
41,Our Tiny Feet,night vision switching problem new firmware please,certain auto night vision switching problem fixed firmware update fix light sensitivity threshold turning onoff night vision featurecurrently turning onoff right time given light condition example early morning doesnt turn night vision 8 plenty ambient light 2 hour 8 fails detect motion even person walking 5 foot front think night vision ir lamp combined 8 ambient lighting condition exposing scene point whole scene completely white prevents camera identifying movement triggering recording 2 camera problem perhaps firmware app updated give option enter specific time turning night vision onoff turn night vision much sooner darker conditioneverything else seems work advertised video quality great installed one outdoors protectedshaded area seems weather fine think long protect rain ok outdoor use well mild weathered area,3.0 out of 5 stars,"Reviewed in the United States on May 13, 2020"
42,The de Omenas,record time stolen bike recording,work home security system bike stolen trigger camera record many time pull home camera simply start recording many missed trigger lead stolen bike usually dont leave review decided trying reach customer service helping research valuable item protectupdate 621another customer service representative contacted replaced item newer wireless cam synch model appreciate better camera great one one contact company rep,1.0 out of 5 stars,"Reviewed in the United States on June 10, 2021"
43,John A. Hergenroder,great baby monitor camera,using 3 blink xt2 camera outdoor security camera 18 month bought 2 blink mini camera use baby monitor super easy setup picture quality great love camera single app everything need great wide field view positioned right pick nearly average sized bedroom night vision good audio great surprised good speaker camera talk phone camera actually sound good intelligible camera previous camera using baby monitor 10x harder set didnt work 25 time audio camera speaker made sound like unholy demon happy blink mini camera farat first bit upset lack free cloud video storage whereas blink xt2 camera free cloud storage im using dont need cloud storage need storage blink xt2 camera use security dont see need cloud storage baby monitor peek kid im work without problem wellthe blink mini perfect solution situation may great everyone think simplicity camera make great fit people,5.0 out of 5 stars,"Reviewed in the United States on April 21, 2020"
